openml_id,modelo,n_train,n_test,n_classes,treino_time_sec,infer_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,cv_accuracy_mean,cv_accuracy_std,best_params,best_score_cv
1464,lightgbm,523,225,2,0.03336334228515625,0.00205230712890625,0.7408490361706737,0.7911111111111111,0.48380247267228976,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7800985221674877
1464,xgboost,523,225,2,0.06736207008361816,0.0019989013671875,0.7183235867446395,0.7911111111111111,0.49601793680330514,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7820142309797481
1464,catboost,523,225,2,0.06241106986999512,0.001005411148071289,0.75909681611436,0.7911111111111111,0.4692350374300855,,,"{'iterations': 100, 'learning_rate': 0.1}",0.7877832512315269
1468,realmlp,756,324,9,4.239829778671265,0.0056264400482177734,0.9844071502057612,0.941358024691358,0.3141308421427623,0.9126984126984127,0.011682223368158525,,
1468,lightgbm,756,324,9,0.3841588497161865,0.015633583068847656,0.970068158436214,0.8271604938271605,0.6039822819952888,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7976190476190478
1468,xgboost,756,324,9,0.7157888412475586,0.0055048465728759766,0.99113725994513,0.9074074074074074,0.3172545400001813,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8875661375661376
1468,catboost,756,324,9,0.928307056427002,0.006597757339477539,0.9909229252400547,0.9197530864197531,0.49405097335874165,,,"{'iterations': 200, 'learning_rate': 0.1}",0.8994708994708995
1480,realmlp,408,175,2,2.2428696155548096,0.0015065670013427734,0.5737599999999999,0.6342857142857142,0.9454898217682647,0.6740196078431372,0.053810045098284694,,
1480,lightgbm,408,175,2,0.021804332733154297,0.005298614501953125,0.6954400000000001,0.7085714285714285,0.5601288206965822,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.7083333333333334
1480,xgboost,408,175,2,0.0932009220123291,0.0039997100830078125,0.68384,0.72,0.5626826494050368,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.7034313725490197
1480,catboost,408,175,2,0.46414947509765625,0.07848262786865234,0.7112,0.7142857142857143,0.5953236214901261,,,"{'iterations': 100, 'learning_rate': 0.01}",0.7132352941176471
1494,realmlp,738,317,2,2.863562822341919,0.011435270309448242,0.8900756564307966,0.8359621451104101,0.40262193897634985,0.8631436314363143,0.015330228318407566,,
1494,lightgbm,738,317,2,0.050108909606933594,0.002998828887939453,0.9259902091677793,0.8801261829652997,0.38168294682014753,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8658536585365854
1494,xgboost,738,317,2,0.07019567489624023,0.0015039443969726562,0.9194926568758344,0.8706624605678234,0.3416440799038285,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8753387533875339
1494,catboost,738,317,2,0.4074411392211914,0.002157926559448242,0.9215398308856253,0.8548895899053628,0.35945793457508984,,,"{'iterations': 200, 'learning_rate': 0.01}",0.8699186991869919
1501,realmlp,1115,478,10,6.171991348266602,0.0035109519958496094,0.9963951927303623,0.9351464435146444,0.3335696185288493,0.9381164922856949,0.015364383822281329,,
1501,lightgbm,1115,478,10,0.6185173988342285,0.018143415451049805,0.9963343075040825,0.9163179916317992,0.30017983389040676,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9273565583669052
1501,xgboost,1115,478,10,0.922405481338501,0.00751948356628418,0.9954586911062148,0.9142259414225942,0.2775726528443158,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9139084524051048
1501,catboost,1115,478,10,7.471015691757202,0.006005764007568359,0.9954232526930931,0.9205020920502092,0.345018774295129,,,"{'iterations': 200, 'learning_rate': 0.1}",0.9201808538387967
1510,realmlp,398,171,2,1.4245245456695557,0.0010297298431396484,0.9940128504672896,0.9766081871345029,0.10434090778546062,0.9698488645857067,0.006140011523173915,,
1510,lightgbm,398,171,2,0.047747135162353516,0.0025091171264648438,0.9964953271028038,0.9649122807017544,0.11724835055150919,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.957203615098352
1510,xgboost,398,171,2,0.04709339141845703,0.00251007080078125,0.9963492990654206,0.9883040935672515,0.07082478823627436,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.957222601959444
1510,catboost,398,171,2,0.4714477062225342,0.0020813941955566406,0.9985397196261682,0.9707602339181286,0.09895628747831918,,,"{'iterations': 200, 'learning_rate': 0.01}",0.9547353231563758
6332,realmlp,378,162,2,2.239550828933716,0.0025060176849365234,0.8147684605757197,0.7160493827160493,0.567891975020223,0.746031746031746,0.01714481666245468,,
